Date,AAL,ALK,DAL,LUV,UAL
2020-01-02,28.982892990112305,67.78558349609375,58.63530731201172,54.6297492980957,89.73999786376953
2020-01-03,27.548194885253906,66.54263305664062,57.662025451660156,54.14162826538086,87.9000015258789
2020-01-06,27.219409942626953,66.22443389892578,57.264766693115234,53.9224739074707,87.69999694824219
2020-01-07,27.11977767944336,65.80680847167969,57.215110778808594,54.08185958862305,86.7699966430664
2020-01-08,27.73749542236328,66.125,58.44660949707031,54.16154861450195,87.30000305175781
2020-01-09,27.847091674804688,65.99573516845703,58.55585479736328,54.091819763183594,87.94999694824219
2020-01-10,27.219409942626953,65.51844024658203,58.83393859863281,53.73320007324219,87.30999755859375
2020-01-13,27.289152145385742,65.4985580444336,59.08222579956055,53.78300857543945,86.88999938964844
2020-01-14,27.428638458251953,65.80680847167969,61.02878952026367,54.28109359741211,87.8499984741211
2020-01-15,27.478452682495117,66.21449279785156,61.19762420654297,54.81901931762695,88.29000091552734
2020-01-16,28.126060485839844,66.16477966308594,61.455841064453125,55.08798599243164,89.54000091552734
2020-01-17,28.295433044433594,66.24432373046875,61.60481262207031,54.799095153808594,89.69999694824219
2020-01-21,27.099853515625,64.6235122680664,59.92639923095703,53.33473587036133,85.79000091552734
2020-01-22,27.219409942626953,65.22013092041016,59.23119354248047,53.27496337890625,83.33999633789062
2020-01-23,28.693960189819336,66.8011703491211,59.856876373291016,55.18760299682617,84.87999725341797
2020-01-24,27.538230895996094,66.34376525878906,58.40688705444336,56.33319091796875,81.9000015258789
2020-01-27,26.013866424560547,64.97154235839844,56.440460205078125,56.03434371948242,77.62999725341797
2020-01-28,26.80095672607422,65.17041778564453,57.086002349853516,57.37916564941406,77.05000305175781
2020-01-29,26.701324462890625,66.51280212402344,56.26169204711914,56.67189025878906,75.20999908447266
2020-01-30,27.617937088012695,65.63776397705078,56.70860290527344,55.6159553527832,77.75
2020-01-31,26.741178512573242,64.22576904296875,55.35792922973633,54.76921081542969,74.80000305175781
2020-02-03,27.059999465942383,64.28543853759766,55.6558723449707,55.00829315185547,74.91000366210938
2020-02-04,28.43000030517578,65.39911651611328,57.53291702270508,55.466529846191406,78.88999938964844
2020-02-05,29.100000381469727,65.95596313476562,58.48633575439453,56.731658935546875,81.8499984741211
2020-02-06,28.299999237060547,63.65898132324219,57.78120422363281,57.49871063232422,80.5
2020-02-07,28.3799991607666,63.59932327270508,57.52298355102539,57.040470123291016,79.4800033569336
2020-02-10,28.790000915527344,64.0666732788086,57.314422607421875,57.19985580444336,79.47000122070312
2020-02-11,29.84000015258789,64.18599700927734,58.257911682128906,57.70790481567383,80.52999877929688
2020-02-12,30.469999313354492,65.17041778564453,59.06236267089844,58.255794525146484,82.19999694824219
2020-02-13,30.09000015258789,66.125,58.724693298339844,58.3155632019043,80.98999786376953
2020-02-14,29.200000762939453,66.11000061035156,58.49626922607422,57.74774932861328,79.55000305175781
2020-02-18,28.6299991607666,65.48999786376953,58.317501068115234,57.37916564941406,80.23999786376953
2020-02-19,28.329999923706055,65.16999816894531,58.5099983215332,56.891048431396484,79.41999816894531
2020-02-20,28.510000228881836,65.36000061035156,58.380001068115234,56.72169876098633,79.91000366210938
2020-02-21,27.81999969482422,65.43000030517578,57.869998931884766,56.313270568847656,78.01000213623047
2020-02-24,25.450000762939453,63.0099983215332,54.22999954223633,53.902549743652344,75.47000122070312
