"","symbol","date","close"
"1","MMM",2019-12-05,164.369995
"2","MMM",2019-12-06,171.470001
"3","MMM",2019-12-09,169.830002
"4","MMM",2019-12-10,167.660004
"5","MMM",2019-12-11,168.740005
"6","MMM",2019-12-12,168.559998
"7","MMM",2019-12-13,168.789993
"8","MMM",2019-12-16,170.75
"9","MMM",2019-12-17,169.929993
"10","MMM",2019-12-18,169.029999
"11","MMM",2019-12-19,172.149994
"12","MMM",2019-12-20,175.369995
"13","MMM",2019-12-23,178.470001
"14","MMM",2019-12-24,176.679993
"15","MMM",2019-12-26,176.589996
"16","MMM",2019-12-27,177.259995
"17","MMM",2019-12-30,175.830002
"18","MMM",2019-12-31,176.419998
"19","MMM",2020-01-02,180
"20","MMM",2020-01-03,178.449997
"21","MMM",2020-01-06,178.619995
"22","MMM",2020-01-07,177.899994
"23","MMM",2020-01-08,180.630005
"24","MMM",2020-01-09,181.199997
"25","MMM",2020-01-10,180.470001
"26","MMM",2020-01-13,180.919998
"27","MMM",2020-01-14,181.369995
"28","MMM",2020-01-15,179.779999
"29","MMM",2020-01-16,181.009995
"30","MMM",2020-01-17,181.350006
"31","MMM",2020-01-21,179.389999
"32","MMM",2020-01-22,178.029999
"33","MMM",2020-01-23,177.740005
"34","MMM",2020-01-24,178.149994
"35","MMM",2020-01-27,175.630005
"36","MMM",2020-01-28,165.580002
"37","MMM",2020-01-29,162
"38","MMM",2020-01-30,162.509995
"39","MMM",2020-01-31,158.660004
"40","MMM",2020-02-03,156.589996
"41","MMM",2020-02-04,157.240005
"42","MMM",2020-02-05,162.330002
"43","MMM",2020-02-06,162.889999
"44","MMM",2020-02-07,160.080002
"45","MMM",2020-02-10,160.149994
"46","MMM",2020-02-11,162.449997
"47","MMM",2020-02-12,163.800003
"48","MMM",2020-02-13,159.759995
"49","MMM",2020-02-14,161.009995
"50","MMM",2020-02-18,158.880005
"51","MMM",2020-02-19,159.339996
"52","MMM",2020-02-20,158.559998
"53","MMM",2020-02-21,156.929993
"54","MMM",2020-02-24,152.550003
"55","MMM",2020-02-25,146.850006
"56","MMM",2020-02-26,148.960007
"57","MMM",2020-02-27,150.160004
"58","MMM",2020-02-28,149.240005
"59","MMM",2020-03-02,153.020004
"60","MMM",2020-03-03,145.240005
"61","MMM",2020-03-04,153.979996
"62","MMM",2020-03-05,151.410004
"63","MMM",2020-03-06,153.649994
"64","MMM",2020-03-09,144.059998
"65","MMM",2020-03-10,153.300003
"66","MMM",2020-03-11,147.240005
"67","MMM",2020-03-12,133.580002
"68","MMM",2020-03-13,141.679993
"69","MMM",2020-03-16,130.910004
"70","MMM",2020-03-17,134.440002
"71","MMM",2020-03-18,137.020004
"72","MMM",2020-03-19,137.509995
"73","MMM",2020-03-20,124.889999
"74","MMM",2020-03-23,117.870003
"75","MMM",2020-03-24,132.720001
"76","MMM",2020-03-25,131.539993
"77","MMM",2020-03-26,136.179993
"78","MMM",2020-03-27,133.240005
"79","MMM",2020-03-30,137.740005
"80","MMM",2020-03-31,136.509995
"81","MMM",2020-04-01,133.139999
"82","MMM",2020-04-02,137.910004
"83","MMM",2020-04-03,133.789993
"84","MMM",2020-04-06,140.699997
"85","MMM",2020-04-07,144.600006
"86","MMM",2020-04-08,148.990005
"87","MMM",2020-04-09,147.779999
"88","MMM",2020-04-13,146.399994
"89","MMM",2020-04-14,150.139999
"90","MMM",2020-04-15,145.160004
"91","MMM",2020-04-16,144.899994
"92","MMM",2020-04-17,146.460007
"93","MMM",2020-04-20,143.669998
"94","MMM",2020-04-21,141.630005
"95","MMM",2020-04-22,143.610001
"96","MMM",2020-04-23,144.330002
"97","MMM",2020-04-24,147
"98","MMM",2020-04-27,153.649994
"99","MMM",2020-04-28,157.610001
"100","MMM",2020-04-29,156.259995
"101","MMM",2020-04-30,151.919998
"102","MMM",2020-05-01,148.600006
"103","MMM",2020-05-04,148.399994
"104","ALK",2019-12-05,67.290001
"105","ALK",2019-12-06,68.32
"106","ALK",2019-12-09,67.989998
"107","ALK",2019-12-10,67.239998
"108","ALK",2019-12-11,66.739998
"109","ALK",2019-12-12,67.690002
"110","ALK",2019-12-13,67.410004
"111","ALK",2019-12-16,69
"112","ALK",2019-12-17,70.059998
"113","ALK",2019-12-18,69.029999
"114","ALK",2019-12-19,69.199997
"115","ALK",2019-12-20,69.339996
"116","ALK",2019-12-23,69.290001
"117","ALK",2019-12-24,69.089996
"118","ALK",2019-12-26,69.07
"119","ALK",2019-12-27,68.290001
"120","ALK",2019-12-30,67.68
"121","ALK",2019-12-31,67.75
"122","ALK",2020-01-02,68.169998
"123","ALK",2020-01-03,66.919998
"124","ALK",2020-01-06,66.599998
"125","ALK",2020-01-07,66.18
"126","ALK",2020-01-08,66.5
"127","ALK",2020-01-09,66.370003
"128","ALK",2020-01-10,65.889999
"129","ALK",2020-01-13,65.870003
"130","ALK",2020-01-14,66.18
"131","ALK",2020-01-15,66.589996
"132","ALK",2020-01-16,66.540001
"133","ALK",2020-01-17,66.620003
"134","ALK",2020-01-21,64.989998
"135","ALK",2020-01-22,65.589996
"136","ALK",2020-01-23,67.18
"137","ALK",2020-01-24,66.720001
"138","ALK",2020-01-27,65.339996
"139","ALK",2020-01-28,65.540001
"140","ALK",2020-01-29,66.889999
"141","ALK",2020-01-30,66.010002
"142","ALK",2020-01-31,64.589996
"143","ALK",2020-02-03,64.650002
"144","ALK",2020-02-04,65.769997
"145","ALK",2020-02-05,66.330002
"146","ALK",2020-02-06,64.019997
"147","ALK",2020-02-07,63.959999
"148","ALK",2020-02-10,64.43
"149","ALK",2020-02-11,64.550003
"150","ALK",2020-02-12,65.540001
"151","ALK",2020-02-13,66.5
"152","ALK",2020-02-14,66.110001
"153","ALK",2020-02-18,65.489998
"154","ALK",2020-02-19,65.169998
"155","ALK",2020-02-20,65.360001
"156","ALK",2020-02-21,65.43
"157","ALK",2020-02-24,63.009998
"158","ALK",2020-02-25,58.810001
"159","ALK",2020-02-26,57.369999
"160","ALK",2020-02-27,52.959999
"161","ALK",2020-02-28,50.459999
"162","ALK",2020-03-02,50.029999
"163","ALK",2020-03-03,47.369999
"164","ALK",2020-03-04,49.689999
"165","ALK",2020-03-05,43.459999
"166","ALK",2020-03-06,45.209999
"167","ALK",2020-03-09,43.189999
"168","ALK",2020-03-10,46.779999
"169","ALK",2020-03-11,45.700001
"170","ALK",2020-03-12,35.080002
"171","ALK",2020-03-13,37.950001
"172","ALK",2020-03-16,32.529999
"173","ALK",2020-03-17,32.529999
"174","ALK",2020-03-18,25.129999
"175","ALK",2020-03-19,24.18
"176","ALK",2020-03-20,23.559999
"177","ALK",2020-03-23,24.030001
"178","ALK",2020-03-24,28.91
"179","ALK",2020-03-25,29.84
"180","ALK",2020-03-26,32.490002
"181","ALK",2020-03-27,29.870001
"182","ALK",2020-03-30,28.33
"183","ALK",2020-03-31,28.469999
"184","ALK",2020-04-01,26.35
"185","ALK",2020-04-02,24.66
"186","ALK",2020-04-03,24.690001
"187","ALK",2020-04-06,26.67
"188","ALK",2020-04-07,29.030001
"189","ALK",2020-04-08,29.139999
"190","ALK",2020-04-09,31.610001
"191","ALK",2020-04-13,29.51
"192","ALK",2020-04-14,31.049999
"193","ALK",2020-04-15,30.08
"194","ALK",2020-04-16,28.26
"195","ALK",2020-04-17,29.93
"196","ALK",2020-04-20,29.23
"197","ALK",2020-04-21,28.290001
"198","ALK",2020-04-22,27.530001
"199","ALK",2020-04-23,28.200001
"200","ALK",2020-04-24,28.01
"201","ALK",2020-04-27,27.85
"202","ALK",2020-04-28,31.58
"203","ALK",2020-04-29,34
"204","ALK",2020-04-30,32.52
"205","ALK",2020-05-01,30.110001
"206","ALK",2020-05-04,28.77
"207","ALLE",2019-12-05,122.300003
"208","ALLE",2019-12-06,122.989998
"209","ALLE",2019-12-09,124.089996
"210","ALLE",2019-12-10,124.089996
"211","ALLE",2019-12-11,125.690002
"212","ALLE",2019-12-12,124.470001
"213","ALLE",2019-12-13,123.010002
"214","ALLE",2019-12-16,121.660004
"215","ALLE",2019-12-17,123.529999
"216","ALLE",2019-12-18,123.610001
"217","ALLE",2019-12-19,123.68
"218","ALLE",2019-12-20,124.199997
"219","ALLE",2019-12-23,123.419998
"220","ALLE",2019-12-24,123.870003
"221","ALLE",2019-12-26,124.639999
"222","ALLE",2019-12-27,124.589996
"223","ALLE",2019-12-30,124.120003
"224","ALLE",2019-12-31,124.540001
"225","ALLE",2020-01-02,125.389999
"226","ALLE",2020-01-03,123.839996
"227","ALLE",2020-01-06,123.610001
"228","ALLE",2020-01-07,122.129997
"229","ALLE",2020-01-08,122.650002
"230","ALLE",2020-01-09,122.870003
"231","ALLE",2020-01-10,123.43
"232","ALLE",2020-01-13,124.650002
"233","ALLE",2020-01-14,124.720001
"234","ALLE",2020-01-15,125.32
"235","ALLE",2020-01-16,128.509995
"236","ALLE",2020-01-17,128.050003
"237","ALLE",2020-01-21,127.139999
"238","ALLE",2020-01-22,129.449997
"239","ALLE",2020-01-23,129.800003
"240","ALLE",2020-01-24,128
"241","ALLE",2020-01-27,127.669998
"242","ALLE",2020-01-28,129.440002
"243","ALLE",2020-01-29,130.820007
"244","ALLE",2020-01-30,130.660004
"245","ALLE",2020-01-31,129.320007
"246","ALLE",2020-02-03,132.179993
"247","ALLE",2020-02-04,135.25
"248","ALLE",2020-02-05,133.279999
"249","ALLE",2020-02-06,132.410004
"250","ALLE",2020-02-07,134.039993
"251","ALLE",2020-02-10,136.380005
"252","ALLE",2020-02-11,137.889999
"253","ALLE",2020-02-12,138.570007
"254","ALLE",2020-02-13,136.830002
"255","ALLE",2020-02-14,138.899994
"256","ALLE",2020-02-18,134.360001
"257","ALLE",2020-02-19,131.160004
"258","ALLE",2020-02-20,129.850006
"259","ALLE",2020-02-21,128.580002
"260","ALLE",2020-02-24,126.949997
"261","ALLE",2020-02-25,124
"262","ALLE",2020-02-26,123.660004
"263","ALLE",2020-02-27,118.18
"264","ALLE",2020-02-28,114.989998
"265","ALLE",2020-03-02,120.860001
"266","ALLE",2020-03-03,119.339996
"267","ALLE",2020-03-04,124.349998
"268","ALLE",2020-03-05,122.650002
"269","ALLE",2020-03-06,119.800003
"270","ALLE",2020-03-09,115
"271","ALLE",2020-03-10,118.389999
"272","ALLE",2020-03-11,114.779999
"273","ALLE",2020-03-12,103.389999
"274","ALLE",2020-03-13,111.809998
"275","ALLE",2020-03-16,97.709999
"276","ALLE",2020-03-17,102.599998
"277","ALLE",2020-03-18,96.68
"278","ALLE",2020-03-19,94.160004
"279","ALLE",2020-03-20,82.839996
"280","ALLE",2020-03-23,78.599998
"281","ALLE",2020-03-24,84.919998
"282","ALLE",2020-03-25,89.449997
"283","ALLE",2020-03-26,96.779999
"284","ALLE",2020-03-27,91.620003
"285","ALLE",2020-03-30,95.010002
"286","ALLE",2020-03-31,92.019997
"287","ALLE",2020-04-01,84.589996
"288","ALLE",2020-04-02,84.419998
"289","ALLE",2020-04-03,84.040001
"290","ALLE",2020-04-06,94.489998
"291","ALLE",2020-04-07,92.75
"292","ALLE",2020-04-08,94.650002
"293","ALLE",2020-04-09,95.360001
"294","ALLE",2020-04-13,95.769997
"295","ALLE",2020-04-14,97.919998
"296","ALLE",2020-04-15,94.459999
"297","ALLE",2020-04-16,93.980003
"298","ALLE",2020-04-17,97.629997
"299","ALLE",2020-04-20,93.949997
"300","ALLE",2020-04-21,90.760002
"301","ALLE",2020-04-22,92.970001
"302","ALLE",2020-04-23,95.129997
"303","ALLE",2020-04-24,96.57
"304","ALLE",2020-04-27,99.07
"305","ALLE",2020-04-28,101.620003
"306","ALLE",2020-04-29,102.360001
"307","ALLE",2020-04-30,100.540001
"308","ALLE",2020-05-01,97.480003
"309","ALLE",2020-05-04,94.760002
"310","AAL",2019-12-05,27.24
"311","AAL",2019-12-06,27.73
"312","AAL",2019-12-09,27.49
"313","AAL",2019-12-10,27
"314","AAL",2019-12-11,26.860001
"315","AAL",2019-12-12,27.719999
"316","AAL",2019-12-13,27.48
"317","AAL",2019-12-16,27.92
"318","AAL",2019-12-17,28.280001
"319","AAL",2019-12-18,28
"320","AAL",2019-12-19,28.549999
"321","AAL",2019-12-20,29.040001
"322","AAL",2019-12-23,29.299999
"323","AAL",2019-12-24,29.18
"324","AAL",2019-12-26,29.67
"325","AAL",2019-12-27,28.440001
"326","AAL",2019-12-30,28.299999
"327","AAL",2019-12-31,28.68
"328","AAL",2020-01-02,29.09
"329","AAL",2020-01-03,27.65
"330","AAL",2020-01-06,27.32
"331","AAL",2020-01-07,27.219999
"332","AAL",2020-01-08,27.84
"333","AAL",2020-01-09,27.950001
"334","AAL",2020-01-10,27.32
"335","AAL",2020-01-13,27.389999
"336","AAL",2020-01-14,27.530001
