Date,DAL,AAL,UAL,LUV
01/01/2010,-1.19094350276179,-1.47100663727179,-1.53360909494799,-1.12808587106446
02/01/2010,-1.15577770836083,-1.34515363496029,-1.32801802431094,-1.06591375163608
03/01/2010,-1.07066651495034,-1.34390755450683,-1.22772973895772,-1.03408171062158
04/01/2010,-1.19858823069645,-1.36135248259269,-1.14206675107215,-1.03581346250734
05/01/2010,-1.12214095134987,-1.25169846008865,-1.20850776780241,-1.07263364648262
06/01/2010,-1.21540672395575,-1.26540521290165,-1.18552506795296,-1.1388105528126
07/01/2010,-1.20878106739652,-1.12584552386469,-1.05264299270563,-1.09178942466181
08/01/2010,-1.2811512579646,-1.23861471445861,-1.15878143047535,-1.14156713695297
09/01/2010,-1.22101285012425,-1.22553090274103,-1.05598593694363,-1.04072155050875
10/01/2010,-1.10634175897364,-1.06728020516475,-0.831172895151275,-1.00635919329197
11/01/2010,-1.11704438955754,-1.10653150814241,-0.88800298898409,-1.02827139464313
12/01/2010,-1.17208640773631,-1.17818030812225,-1.04930004846763,-1.04520350145434
01/01/2011,-1.21948364060351,-1.18378776929412,-0.983276899767112,-1.10125077261753
02/01/2011,-1.24139875303206,-1.26540521290165,-1.04010691002632,-1.10224738174305
03/01/2011,-1.31478818710631,-1.25917474454682,-1.08398309493688,-1.06239170901694
04/01/2011,-1.28522857625076,-1.23549954636872,-1.09108685144264,-1.10598539032161
05/01/2011,-1.30051797474316,-1.23487647309823,-1.03551040348587,-1.1019982026336
06/01/2011,-1.34689590672727,-1.24671407218727,-1.09902638579469,-1.12243287488551
07/01/2011,-1.41213099111378,-1.41306445792989,-1.28748478363838,-1.19498531096201
08/01/2011,-1.43047834963234,-1.4535616430984,-1.26784502802693,-1.26180045706522
09/01/2011,-1.4320072722685,-1.45916897209521,-1.23483349546347,-1.290465015227
10/01/2011,-1.3800232141159,-1.44234711727986,-1.23734066185517,-1.26501918153068
11/01/2011,-1.40040905964679,-1.50776571325499,-1.29375288765823,-1.2735011439815
12/01/2011,-1.40193803965987,-1.48595947053826,-1.25614468140712,-1.2645200184697
01/01/2012,-1.27656454743302,-1.27599686371231,-1.07938654660963,-1.21334601247372
02/01/2012,-1.31427845059939,-1.34016937923398,-1.18176421389841,-1.24329998131146
03/01/2012,-1.30867220967707,-1.3289547873279,-1.14624543136965,-1.28001017020182
04/01/2012,-1.25566879326446,-1.16260453376035,-1.12869497412014,-1.27801206924214
05/01/2012,-1.19756875768262,-0.978186344923986,-0.992887864451364,-1.24054822622359
06/01/2012,-1.25617847239446,-0.971332803298649,-1.02798877895037,-1.23105726007915
07/01/2012,-1.32243291504096,-1.08784049960309,-1.25530902892123,-1.23204260141548
08/01/2012,-1.37339784444123,-1.13768312295373,-1.27369513865662,-1.24454437448681
09/01/2012,-1.34740564323419,-1.15014372922574,-1.22981903731967,-1.25256408930027
10/01/2012,-1.32345210117022,-1.04298193371616,-1.24193725196922,-1.25006108407273
11/01/2012,-1.30459517827549,-0.998746375012193,-1.19973258096446,-1.21451673577024
12/01/2012,-1.20929086128035,-0.960741284663064,-1.06768628356343,-1.17897233381162
01/01/2013,-1.10634175897364,-0.912144609590818,-1.03551040348587,-1.12981681810813
02/01/2013,-1.08697515694891,-0.965102599293945,-0.928536229656653,-1.10526022760322
03/01/2013,-0.9728137449283,-0.744548275569808,-0.707066215675906,-1.01605437470139
04/01/2013,-0.940706140061161,-0.748909458025621,-0.69494800102635,-1.0044582636
05/01/2013,-0.896366522958638,-0.707165994141041,-0.688262112550349,-0.980884170656047
06/01/2013,-0.860691336312254,-0.778815190646086,-0.737152588457504,-1.04508545794858
07/01/2013,-0.732259884059239,-0.596266155533679,-0.588391695226879,-0.995973940279062
08/01/2013,-0.808706991275073,-0.795014104366013,-0.855409324450386,-1.04727924284714
09/01/2013,-0.608534314188871,-0.620564559157336,-0.761389017756615,-0.957170571750735
10/01/2013,-0.465934952610959,-0.433031334406152,-0.625999692543979,-0.822993845424897
11/01/2013,-0.333046519029662,-0.338952689738806,-0.404529678563232,-0.753887689499291
12/01/2013,-0.407061131962453,-0.228675792226873,-0.463866855214139,-0.741276940809681
01/01/2014,-0.246211149343541,0.288443102007192,-0.12915464695792,-0.632553667351895
02/01/2014,-0.113023265646353,0.499028385578437,-0.165927075362731,-0.557231447724826
03/01/2014,-0.0358066192555174,0.478468553752832,-0.179716636770879,-0.498086232065033
04/01/2014,0.0760828964652614,0.383144291244763,-0.33683509953052,-0.467581482960612
05/01/2014,0.234166451159726,0.700268627492761,-0.190581289117987,-0.352116208327028
06/01/2014,0.176257423325688,0.874717974438836,-0.328477697148715,-0.331352892223831
07/01/2014,0.111484050968802,0.618650985622629,-0.106171947108468,-0.256184236466538
08/01/2014,0.220468344009368,0.626660530392593,-0.0551919639053508,-0.0668581744634298
09/01/2014,0.0487681000059801,0.414292271241718,-0.0894571423448585,0.0258187477255084
10/01/2014,0.259033777961324,0.780940358488834,0.162099411564698,0.0619266464557621
11/01/2014,0.590922850399793,1.23702159937624,0.513944250827474,0.435214927216019
12/01/2014,0.726195180017695,1.55637473770819,0.750457513879224,0.460643590947862
01/01/2015,0.629101793456818,1.27146100291624,0.854088952404459,0.609370789043773
02/01/2015,0.485011205875456,1.19757209988413,0.679002122578761,0.510567945466867
03/01/2015,0.512413100490691,1.50984521461175,0.765500804737031,0.564552835615873
04/01/2015,0.495853204984268,1.22811980680982,0.451681997968316,0.376884640995138
05/01/2015,0.406844168275649,0.862119113045711,0.236479879073412,0.197879659262714
06/01/2015,0.315992414586391,0.709336035419371,0.170456646799291,-0.00407373117694961
07/01/2015,0.485042017278451,0.719395747668904,0.311696082641626,0.158275955765281
08/01/2015,0.456002929789709,0.648977299309434,0.335932511940737,0.183826848181732
09/01/2015,0.51932277277586,0.645242164063148,0.172128160705094,0.255914353813925
10/01/2015,0.829806067654293,1.11096233787115,0.475500433877268,0.678287807079455
11/01/2015,0.602014381709029,0.798381387410183,0.284116834464922,0.6572970426031
12/01/2015,0.829001700692293,0.872829457067417,0.349722073348884,0.512922215877131
01/01/2016,0.495272091595928,0.66062529326345,-0.0271948894857005,0.23732985254651
02/01/2016,0.701246033736262,0.787568673798319,0.348050559443081,0.459347526910668
03/01/2016,0.732240985480704,0.795267144545773,0.456696372538514,0.60547959218841
04/01/2016,0.365542773540756,0.395030002058557,-0.130408209260368,0.599834268837334
05/01/2016,0.459178627244075,0.218977107187646,-0.160494749189177,0.490423982175979
06/01/2016,0.0975741082507357,-0.00382300311668334,-0.329731259451162,0.322456873074946
07/01/2016,0.219325568006647,0.452826326212936,-0.0852785456209632,0.214022108676484
08/01/2016,0.114367298290826,0.503635083223038,0.0618110426378725,0.207328398025772
09/01/2016,0.262687023473663,0.53028322911786,0.147891898553195,0.316267100881585
10/01/2016,0.389857216395865,0.784452910920627,0.305010235952427,0.376157814936441
11/01/2016,0.728096995220096,1.15647133726765,0.836538244434137,0.714848080717495
12/01/2016,0.793365702478397,1.17990544812173,1.0964522007255,0.881612272838614
01/01/2017,0.689994248705301,1.02408095609344,0.900054352103363,1.01488784431019
02/01/2017,0.832593897167785,1.15883152136918,1.05132236993888,1.29893786386067
03/01/2017,0.631836434570726,0.905557325652038,0.907158025035509,1.08990969687122
04/01/2017,0.604161138958706,0.926039306362597,0.889189699756255,1.22225170518059
05/01/2017,0.800549865921724,1.2966262767233,1.28449281411304,1.39121622824923
06/01/2017,1.05767917144099,1.42580962813537,1.09979522853711,1.52908304822151
07/01/2017,0.823606836322364,1.43350684321968,0.783469130016285,1.19142314127739
08/01/2017,0.707639600677029,1.06789487633053,0.544448575212428,1.01639472331746
09/01/2017,0.779327005964573,1.25046578641669,0.499318911573024,1.22263754647604
10/01/2017,0.876680023062796,1.20740288491591,0.399030542646198,1.11227303903896
11/01/2017,1.03212194462148,1.44328317212345,0.601278669045244,1.46679299259964
12/01/2017,1.21652262598885,1.54958483837809,0.771768908756888,1.71563465858996
01/01/2018,1.2581950198518,1.69709135511526,0.789319282432786,1.4799839251201
02/01/2018,1.10286842589092,1.69258246702097,0.788065720130339,1.325577385681
03/01/2018,1.16923590105865,1.55151214913197,0.858267549128354,1.29636521296474
04/01/2018,1.02825439633412,0.968742162978171,0.777619019386586,1.0701470677601
05/01/2018,1.12786731795708,1.00810944957799,0.863281756551341,0.978663243477646
06/01/2018,0.898401431028565,0.653721921637481,0.869132201475463,0.968208505764749
07/01/2018,1.16561346694931,0.755928870373379,1.31499734743201,1.35822784378345
08/01/2018,1.40976021281683,0.816735349526127,1.60834053716936,1.52288528126344
09/01/2018,1.3739258626101,0.878697699648435,1.67687089404838,1.59171387398208
10/01/2018,1.20302258394676,0.473342011565832,1.52852791063431,0.88983416398377
11/01/2018,1.53269994846853,0.802814671365583,1.99612202699065,1.1795235510539
12/01/2018,0.954031103563908,0.286464969939677,1.45414744312559,0.752086889889145
01/01/2019,0.92795662386171,0.524496472466258,1.60207247493631,1.3013680577076
02/01/2019,0.936278284631639,0.515391725082941,1.62463739032962,1.26340263710181
03/01/2019,1.07114042668899,0.269333627202625,1.2890894042271,1.04562556837009
04/01/2019,1.44207804669808,0.427149270542625,1.66851365881379,1.17648527218385
05/01/2019,1.06276058572793,-0.0260821437038809,1.20008363925073,0.825840150356142
06/01/2019,1.37519819568538,0.330902293884929,1.61377303049013,0.99402279616748
07/01/2019,1.6163032191935,0.19355924682566,1.79596353324797,1.04399216818709
08/01/2019,1.4584873851813,-0.0811266490302746,1.47838357991708,1.08593130879001
09/01/2019,1.44378070663084,-0.0317574106856352,1.64970972283544,1.185877296408
10/01/2019,1.22827622951255,0.171043686606565,1.75125131977029,1.30734905386417
11/01/2019,1.45145968858335,0.0844101991688731,1.83315374610893,1.37927285461632
12/01/2019,1.51812988435109,0.0865739050318441,1.63633761158901,1.18427914830832
01/01/2020,1.36199628409015,-0.0345794144747227,1.08099129255876,1.24709213666074
02/01/2020,0.81438825962762,-0.54750597990233,0.528987499898478,0.777262994174783
03/01/2020,-0.177280303151179,-0.996230951293304,-0.726288103257607,0.211757497674465
04/01/2020,-0.327607876074099,-1.00812670741227,-0.808608063331573,-0.0148579175832169
05/01/2020,-0.519246769938091,-1.17334554239783,-1.03676396578832,-0.21284912409564
