"","Date","^GSPC","CHRW","EXPD","FDX","UPS"
"77","2016-05-01",2096.949951,68.235931,45.905117,157.384369,90.657913
"78","2016-06-01",2098.860107,67.571594,46.750767,144.800873,95.456322
"79","2016-07-01",2173.600098,63.723488,47.122555,154.841568,95.793068
"80","2016-08-01",2170.949951,63.540421,48.285603,157.739502,96.785538
"81","2016-09-01",2168.27002,64.893707,49.11499,167.064423,97.596039
"82","2016-10-01",2126.149902,62.738583,49.067326,167.124786,96.168144
"83","2016-11-01",2198.810059,68.936913,50.278046,183.758636,103.450378
"84","2016-12-01",2238.830078,67.472534,50.873104,178.514435,103.025375
"85","2017-01-01",2278.870117,70.465187,50.027779,181.674088,98.073601
"86","2017-02-01",2363.639893,74.458138,54.158333,185.391937,95.045036
"87","2017-03-01",2362.719971,71.604691,54.388878,187.476578,97.1688
"88","2017-04-01",2384.199951,67.73156,53.879765,182.619553,97.313683
"89","2017-05-01",2411.800049,62.430428,51.276554,186.605057,95.964363
"90","2017-06-01",2423.409912,64.417229,54.184677,209.218246,100.945343
"91","2017-07-01",2470.300049,61.537769,57.012043,200.74118,100.671509
"92","2017-08-01",2471.649902,66.246193,54.320236,206.868729,104.386566
"93","2017-09-01",2519.360107,71.828316,57.960953,217.676285,110.432236
"94","2017-10-01",2575.26001,74.121895,56.527901,218.409348,108.078117
"95","2017-11-01",2584.840088,81.78611,62.724869,223.874207,111.682861
"96","2017-12-01",2673.610107,84.089142,63.048851,241.361633,110.381851
"97","2018-01-01",2823.810059,86.791473,63.30225,254.409119,117.95063
"98","2018-02-01",2713.830078,88.59449,63.312,238.833221,96.726555
"99","2018-03-01",2640.870117,88.926636,61.694111,232.726944,97.779686
"100","2018-04-01",2648.050049,87.764816,62.239899,240.09816,106.038536
"101","2018-05-01",2705.27002,82.967934,72.590485,241.962997,108.486313
"102","2018-06-01",2718.370117,80.195221,71.673363,220.536758,100.027199
"103","2018-07-01",2816.290039,88.410301,74.683441,239.43718,112.889595
"104","2018-08-01",2901.52002,92.100853,71.849846,237.567413,115.704987
"105","2018-09-01",2913.97998,93.864639,72.094963,234.490097,110.765205
"106","2018-10-01",2711.73999,85.751297,65.868896,215.143173,101.07859
"107","2018-11-01",2760.169922,88.929771,74.605003,223.598923,109.380043
"108","2018-12-01",2506.850098,80.99321,67.15947,157.524933,93.299141
"109","2019-01-01",2704.100098,84.070038,68.352943,173.907562,100.827744
"110","2019-02-01",2784.48999,87.567711,73.92572,177.266815,105.419518
"111","2019-03-01",2834.399902,84.753685,74.86274,177.668335,107.830711
"112","2019-04-01",2945.830078,78.917664,78.334641,186.252686,102.503838
"113","2019-05-01",2752.060059,77.582886,68.638969,151.668228,89.669136
"114","2019-06-01",2941.76001,82.181549,75.359276,161.410461,100.610405
"115","2019-07-01",2980.379883,82.08419,75.846039,168.292328,116.393204
"116","2019-08-01",2926.459961,82.829239,70.630692,156.528732,115.604065
"117","2019-09-01",2976.73999,83.113541,73.799637,143.659851,117.72644
"118","2019-10-01",3037.560059,74.603928,73.918846,151.254929,112.01796
"119","2019-11-01",3140.97998,75.797356,74.266533,158.576904,117.638016
"120","2019-12-01",3230.780029,77.12886,78.019997,149.818268,115.911461
"121","2020-01-01",3225.52002,71.699699,73.040001,143.916412,102.504311
"122","2020-02-01",2954.219971,68.403618,70.419998,140.463776,89.60215
"123","2020-03-01",2584.590088,65.723068,66.720001,120.653374,93.419998
"124","2020-04-01",2912.429932,70.900002,71.610001,126.769997,94.660004
"125","2020-05-01",2929.800049,73.800003,74.830002,120.440002,94.830002
"126","2020-05-08",2929.800049,73.800003,74.830002,120.440002,94.830002
