Date,LUV_rev,UAL_rev,AAL_rev,DAL_rev
03/01/2015,-1.83131671205011,-1.10375436938547,-0.857588618253369,-1.00917921396697
06/01/2015,-0.27179944917616,0.158665553662442,0.260172118050053,0.188475243945247
09/01/2015,0.191357040658714,0.537584856751862,0.124923068957339,0.551675989331818
12/01/2015,-0.571620558537865,-0.690036354787839,-1.13591104159292,-0.905667001531801
03/01/2016,-0.909478674311131,-1.50297292085468,-1.29575082688431,-1.13357546926187
06/01/2016,0.339030124374181,-0.342049239705719,-0.258468863594734,-0.0203651846520321
09/01/2016,-0.209150262145356,0.157698922787214,-0.000266133508643866,-0.0149171734712335
12/01/2016,-0.654406984257142,-0.672636999033733,-0.96265812746589,-1.14447149162347
03/01/2017,-0.846829487280326,-1.27968118867699,-1.08449404772296,-1.26977574878184
06/01/2017,1.11543254936308,0.249528855933885,0.707276412571422,0.224795318483904
09/01/2017,0.157794976177926,0.144166090534021,0.414423099659926,0.509907903612363
12/01/2017,0.0571087827355622,-0.288884541568173,0.223286013752041,-0.131141411994936
03/01/2018,-0.645457100395599,-0.693902878288751,-0.215993955615204,-0.482538133156445
06/01/2018,1.14004472998232,0.992867998984302,1.17226487887365,1.15822123412739
09/01/2018,0.766387078762881,1.21132657678585,1.1230834064763,1.31984556582442
12/01/2018,1.05502083329766,0.716411568669062,0.327237762228259,0.220255309166572
03/01/2019,-0.186775552491497,-0.155489480786693,-0.0114437408716781,-0.0249051939693642
06/01/2019,1.51370238120176,0.711578414292922,1.52659503228183,1.84921065222535
09/01/2019,0.909585220547576,1.57574641674685,1.47182475620296,1.87100269694854
12/01/2019,1.11543254936308,1.98559790784357,0.795579510739393,-0.0249051939693642
03/01/2020,-2.23406148581956,-1.71176518990395,-2.32409070428346,-1.73194869728625
